age,tenure,monthly_charges,contract_type,churn
53,63,38.43625958255225,1yr,1
48,31,63.47606442724343,1yr,0
21,20,38.75519355578892,2yr,0
36,70,91.52078340123587,1yr,0
64,9,72.30063893232223,month,0
53,60,52.05653279867936,1yr,0
38,35,20.30995410843868,month,1
35,18,79.73029395241213,2yr,0
68,43,84.90783347058682,month,0
45,3,20.5189627256445,month,0
32,12,117.02218038935838,2yr,1
59,58,86.38660678862631,month,0
19,1,49.3144402506565,2yr,1
54,0,40.0364321941194,2yr,1
28,39,112.57021517101627,2yr,1
40,24,50.92512896481641,month,1
61,58,60.32180330455301,2yr,0
58,36,83.30620068193471,1yr,0
29,69,109.06528094002063,month,0
20,6,63.26063570970861,month,1
69,3,112.82187108436219,1yr,0
34,40,79.20806626787586,1yr,0
50,60,63.17849276251621,1yr,0
18,33,79.27802706766086,1yr,0
56,28,55.45060537517365,2yr,0
37,68,85.70197741940001,month,1
64,26,85.23089527415252,month,0
60,51,102.17185635803376,1yr,0
69,53,60.276675967318376,2yr,0
58,69,23.756505250392838,2yr,1
31,33,118.46316229693069,1yr,0
48,7,64.81428319320578,1yr,0
42,7,113.76352253376147,1yr,0
20,67,87.20410571474869,1yr,0
21,67,46.66968776004438,2yr,0
48,71,76.40643603339319,month,1
52,0,115.69329750877765,2yr,0
61,5,31.348591520077346,month,0
31,30,47.22293610535426,month,1
66,7,28.205774536494594,month,0
58,21,96.52705837982595,2yr,0
26,8,22.16887238763399,1yr,0
37,43,33.72513505241385,1yr,1
49,46,46.06286668926199,2yr,0
26,0,107.10825724384453,2yr,0
44,51,37.941006987348885,month,0
20,38,63.327873287588716,2yr,0
21,26,52.51179092154215,month,0
62,32,78.34041877813243,2yr,0
32,70,113.64681001409744,1yr,1
50,44,114.07816592466114,1yr,1
22,59,25.250816744440847,1yr,0
21,57,79.62111203627752,2yr,0
63,50,109.18009653672702,month,0
29,45,98.09311328853308,1yr,0
40,4,41.153389772630234,month,0
31,57,96.49944475660804,1yr,0
63,17,38.90626598653342,month,0
29,35,109.87595875714912,2yr,1
34,66,20.893126500590135,2yr,0
42,20,29.023297948969077,month,0
47,45,81.91827996155763,2yr,0
39,57,58.24400994297641,month,0
64,36,29.656287855673874,2yr,1
43,62,118.49333082108261,2yr,1
34,4,109.6581255335621,month,1
37,30,47.11133917467363,1yr,1
51,35,67.31900477098972,1yr,0
58,55,67.97538701970782,1yr,0
50,26,70.83903892335468,month,1
54,22,116.7259305892187,1yr,0
24,51,29.995851559285008,2yr,0
39,46,23.965045599129468,1yr,0
49,61,68.37064614240234,2yr,0
31,60,65.82590118333157,1yr,0
25,47,43.52628439650843,1yr,1
42,0,25.88702833010515,month,1
33,10,32.38444175177672,2yr,0
59,13,105.67552470696484,2yr,0
36,71,59.966737210144764,2yr,0
58,6,58.13971534308877,1yr,0
33,45,22.197363549292174,1yr,0
29,30,57.475270490741494,month,0
56,15,86.16072883460087,month,0
65,41,82.53582002401853,month,1
47,38,111.39912177132156,1yr,0
19,53,87.17943007226471,month,0
49,43,52.4082691497527,2yr,0
62,7,51.62199863081955,month,0
42,65,103.3315807618466,1yr,0
42,41,97.58032188219843,month,1
21,66,48.11529660302623,2yr,1
36,31,91.39271946992748,2yr,1
65,50,76.15772808883654,2yr,1
21,46,59.966001443404295,1yr,1
60,33,73.08601305358718,2yr,0
30,12,28.523306029452005,month,1
56,66,86.5677730998295,month,0
53,10,22.96348181303012,2yr,0
40,27,108.92873160786789,1yr,0
23,56,88.21189587352212,2yr,0
41,65,109.13143502860534,month,1
61,64,20.120757173684872,month,0
50,69,113.72188255507022,2yr,0
29,34,115.83073595477927,1yr,0
58,3,99.63194129250934,month,0
38,60,119.20738428128281,1yr,1
28,37,55.52251981133438,2yr,0
61,43,104.83401501040892,month,0
55,70,97.06744957177106,month,1
46,20,92.0527517596006,month,0
65,6,83.34148214970813,month,0
58,28,50.73761171142161,month,0
20,6,73.72790253558078,month,0
45,66,47.45750488444898,2yr,0
37,69,20.868991836915956,month,0
43,54,22.494472462713492,month,1
41,21,34.42860965888907,2yr,0
69,31,71.37597327351932,month,0
64,35,42.26579327603889,month,0
38,8,56.94896933594365,2yr,1
47,25,25.51072773313701,month,0
21,21,111.11971614767278,month,0
53,45,108.49518929154392,2yr,1
57,16,109.72770732147163,month,0
27,25,53.21908876269768,2yr,1
27,37,91.29268529488459,month,1
59,1,62.694341039832,month,0
41,5,50.16924660611174,2yr,1
21,70,27.041083113461433,1yr,0
64,12,62.18445178197447,2yr,0
44,54,58.831960355648256,1yr,0
68,62,36.03935363065641,1yr,0
62,71,55.02072609640009,month,1
21,45,29.56198825878559,2yr,0
49,5,107.11025333283283,1yr,0
27,47,86.75933054893073,1yr,0
28,59,39.271797677389344,1yr,1
45,42,111.80919510072651,1yr,0
63,67,77.96808925609633,2yr,1
25,10,65.58984376569327,month,0
57,57,84.23517493634607,month,0
39,3,45.40252310403572,1yr,0
51,69,75.10791485078968,month,0
62,58,33.19032497403793,1yr,0
52,4,40.05160129199918,month,0
52,17,71.40544718305786,month,0
42,69,29.749338421508526,2yr,0
51,63,105.18536993666015,1yr,0
23,24,59.554382979754564,2yr,0
58,3,43.30778244644877,month,0
54,69,78.54320747459786,1yr,0
18,40,94.6836371748599,1yr,0
29,36,80.89886142207679,1yr,0
52,58,77.90112064247336,1yr,0
23,49,37.00996390087127,1yr,1
34,55,88.63620495937504,1yr,0
26,24,117.68018031092,month,0
19,33,80.85933071850982,1yr,0
35,18,52.8378949371245,month,1
66,7,100.26921398967778,2yr,0
53,53,103.63640274815303,month,1
45,46,61.52799467058384,2yr,0
58,33,61.56082609352576,1yr,0
54,29,113.6617108190112,month,1
66,12,92.21840238377362,month,1
